PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Damon Stoudamire,22,70,70,40.9,6.9,16.1,0.426,1.9,4.8,0.395,5.0,11.3,0.439,0.485,3.4,4.2,0.797,0.8,3.2,4.0,9.3,1.4,0.3,3.8,2.4,19.0
Oliver Miller,25,76,72,33.1,5.5,10.5,0.526,0.0,0.1,0.0,5.5,10.3,0.5329999999999999,0.526,1.9,2.9,0.6609999999999999,2.3,5.1,7.4,2.9,1.4,1.9,2.7,3.6,12.9
Alvin Robertson,33,77,69,32.2,3.7,7.9,0.47,0.5,2.0,0.272,3.2,5.9,0.535,0.503,1.4,2.1,0.677,1.4,3.0,4.4,4.2,2.2,0.5,2.4,3.5,9.3
Willie Anderson,29,49,42,31.9,4.7,10.8,0.44,0.6,1.9,0.305,4.1,8.8,0.47,0.46799999999999997,2.3,2.7,0.856,0.7,3.1,3.8,3.0,1.2,1.0,2.4,3.5,12.4
Herb Williams,37,1,0,31.0,3.0,8.0,0.375,0.0,0.0,,3.0,8.0,0.375,0.375,0.0,0.0,,1.0,7.0,8.0,0.0,1.0,2.0,0.0,4.0,6.0
Tracy Murray,24,82,37,30.0,6.0,13.3,0.45399999999999996,1.8,4.4,0.42200000000000004,4.2,9.0,0.47,0.523,2.2,2.7,0.831,1.4,2.9,4.3,1.6,1.1,0.5,1.6,2.5,16.2
Dan O'Sullivan,27,5,2,27.8,2.6,7.0,0.371,0.0,0.2,0.0,2.6,6.8,0.382,0.371,1.4,1.6,0.875,2.6,3.8,6.4,0.4,0.4,0.8,1.0,2.6,6.6
Tony Massenburg,28,24,20,27.5,4.2,8.2,0.51,0.0,0.0,,4.2,8.2,0.51,0.51,1.8,2.7,0.662,2.2,4.8,6.9,0.8,0.5,0.4,1.5,2.8,10.1
Sharone Wright,23,11,6,27.1,5.9,11.6,0.508,0.1,0.3,0.33299999999999996,5.8,11.4,0.512,0.512,4.5,6.6,0.685,2.2,3.0,5.2,1.0,0.5,0.9,2.5,3.5,16.5
Doug Christie,25,32,17,25.6,3.6,8.3,0.436,1.1,2.7,0.414,2.5,5.5,0.446,0.504,1.8,2.2,0.789,0.8,2.9,3.8,2.9,1.8,0.5,2.4,3.1,10.1
Ed Pinckney,32,47,24,21.9,2.5,5.0,0.502,0.0,0.1,0.0,2.5,4.9,0.509,0.502,2.0,2.6,0.758,2.4,3.6,6.0,1.1,0.7,0.4,1.1,2.1,7.0
John Salley,25,67,18,19.9,3.4,6.2,0.5429999999999999,0.0,0.0,0.0,3.4,6.2,0.545,0.5429999999999999,1.0,1.7,0.561,1.7,3.0,4.8,0.9,0.4,0.5,1.5,3.0,7.7
John Salley,31,25,6,19.3,2.0,4.2,0.486,0.0,0.0,,2.0,4.2,0.486,0.486,1.9,2.6,0.723,1.0,2.8,3.9,1.6,0.4,0.5,1.6,2.9,6.0
Carlos Rogers,24,56,18,18.6,3.2,6.1,0.517,0.1,0.4,0.14300000000000002,3.1,5.8,0.542,0.522,1.3,2.3,0.546,1.4,1.6,3.0,0.6,0.4,0.9,1.1,1.6,7.7
Acie Earl,25,42,7,15.6,2.8,6.6,0.424,0.0,0.1,0.0,2.8,6.5,0.429,0.424,2.0,2.7,0.7190000000000001,1.2,1.9,3.1,0.6,0.4,0.9,1.2,1.7,7.5
Dwayne Whitfield,23,8,1,15.3,1.6,3.8,0.433,0.0,0.0,,1.6,3.8,0.433,0.433,1.8,2.8,0.636,1.1,2.0,3.1,0.3,0.4,0.3,1.0,1.8,5.0
Jimmy King,22,62,1,14.0,1.8,4.1,0.431,0.1,0.5,0.147,1.7,3.6,0.475,0.441,0.9,1.2,0.701,0.7,1.1,1.8,1.4,0.3,0.2,1.0,1.2,4.5
Martin Lewis,20,16,0,11.8,1.8,3.8,0.483,0.1,0.4,0.28600000000000003,1.7,3.3,0.509,0.5,0.9,1.6,0.6,0.9,0.9,1.8,0.2,0.5,0.2,0.9,1.3,4.7
Vincenzo Esposito,26,30,0,9.4,1.2,3.3,0.36,0.4,1.9,0.23199999999999998,0.8,1.5,0.523,0.425,1.0,1.3,0.795,0.1,0.4,0.5,0.8,0.2,0.0,1.3,0.9,3.9
